,number,author,life,title,width,height,image_url,wall,position,image_path
376,231,Delacroix ferdinand victor eugène, (1798-1863). ,tigre attaquant un cheval sauvage aquarelle,,,,,Musée Charles X S III,
377,232,Delacroix ferdinand victor eugène, (1798-1863). ,lion dévorant un cheval aquarelle,,,,,Musée Charles X S III,
378,216 ,Delaroche paul, (1797-1856). ,mort d'elisabeth reine d'angleterre en 1603,343.0,422.0,https://upload.wikimedia.org/wikipedia/commons/b/bb/Paul_Delaroche_-_The_Death_of_Elizabeth_I%2C_Queen_of_England_-_WGA6262.jpg,N,VIII,data/images_paintings/378.jpg
379,217 ,Delaroche paul, (1797-1856). ,les enfants d'edouard iv  edouard v roi mineur d'angleterre et richard duc d'york son frère pumé,,,,,E F XIXe S 2e étage I,data/images_paintings/379.jpg
380,221 ,De marne jean louis, (1744-1829). ,une route,61.0,50.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE000854/88ee1752.jpg,S,XVI,data/images_paintings/380.jpg
381,222 ,De marne jean louis, (1744-1829). ,une foire à la porte d'une auberge,60.0,50.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE000853/inv-6440.jpg,S,XVI,data/images_paintings/381.jpg
382,229 ,Desportes françois, (1661-1743). ,diane et blonde chiennes de la meute de louis xiv,,,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/00000106266/82-000264.jpg,N,XVI,data/images_paintings/382.jpg
383,234 ,Desportes françois, (1661-1743). ,une chienne et deux perdrix ile,,,,,Ire S Meubles XVIIIe,
384,237 ,Desportes françois, (1661-1743). ,nature morte volaille gibier et légumes,,,,S,XVI,
385,240 a ,Desportes françois, (1661-1743). ,gibier gardé par un chien,,,,N,XVI,
386,241 ,Desportes françois, (1661-1743). ,gibier fleurs et fruits ile,,,,,Ire S Meubles XVIIIe,
387,242 ,Desportes françois, (1661-1743). ,gibier fleurs et fruits,115.0,88.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE000996/90-001715.jpg,,Ire S Meubles XVIIIe,data/images_paintings/387.jpg
388,245 ,Desportes françois, (1661-1743). ,fruits et gibier,130.0,97.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE001001/08-540204.jpg,S,XVI,data/images_paintings/388.jpg
389,247 ,Desportes françois, (1661-1743). ,deux chiens gardant du gibier,,,,,IIe S Meubles XVIIIe,
390,249 ,Desportes françois, (1661-1743). ,son portrait par lui même en chasseur,,,,N,XVI,
391,250 ,Devéria eugène françois marie joseph, (1805-1865). ,la naissance de henri iv,,,,N,VIII,
392,250 a ,Devéria eugène françois marie joseph, (1805-1865). ,puget présentant le milon de crotone à louis xiv esq uisse du plafond de la 3e salle de céramique antique,,,,,E F XIXe S 2e étage II,
393, ,Devéria eugène françois marie joseph, ( 180s-1865). ,plafond puget présentant le milon de crotone à louis xiv — voussures quatre tableaux représentant des épisodes du règne de louis xiv et des médaillons rappelant les principales fondations du règne illme,,,,,Céramique antique I,
394,251 ,Diaz de la pena narcisse, (1809-1876). ,les pyrénées étude,,,,,E F XIXe S 2e étage I,
395,252 ,Diaz de la pena narcisse, (1809-1876). ,etude de bouleau,21.5,32.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE001023/07-521106.jpg,,E F XIXe S 2e étage I,data/images_paintings/395.jpg
396,255 ,Diaz de la pena narcisse, (1809-1876). ,les bohémiens,37.0,54.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE001035/19-506891.jpg,,E F XIXe S 2e étage I,data/images_paintings/396.jpg
397,257 a ,Diaz de la pena narcisse, (1809-1876). ,chiens dans la forêt,40.0,49.8,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE001017/19-506886.jpg,,E F XIXe S 2e étage I,data/images_paintings/397.jpg
398,2854 ,Diaz de la pena narcisse, (1809-1876). ,nymphes sous bois,,,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/00000106448/09-583432.jpg,,T T,data/images_paintings/398.jpg
399,2855 ,Diaz de la pena narcisse, (1809-1876). ,baigneuses,46.5,32.5,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE001029/19-507697.jpg,,T T,data/images_paintings/399.jpg
400,2856 ,Diaz de la pena narcisse, (1809-1876). ,le valet de chiens,42.0,29.5,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE001026/82-000284-02.jpg,,T T,data/images_paintings/400.jpg
401,2858 ,Diaz de la pena narcisse, (1K09-1876). ,vénus et adonis,,,,,T T,
402,260 ,Doyen gabriel françois, (1726-1806). ,triomphe d'amphitrite  ,,,,S,XVI,
403,261 ,Drolling martin," 1,1752-18171. ",intérieur d'une cuisine,80.8,65.0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Martin_Drolling_-_Interior_of_a_Kitchen_-_WGA6678.jpg/1200px-Martin_Drolling_-_Interior_of_a_Kitchen_-_WGA6678.jpg,N,XVI,data/images_paintings/403.jpg
404,262 ,Drolling martin," 1,1752-18171. ",femme à une fenêtre,,,,O,I,
405,263 ,Drolling martin," 1,1752-18171. ",joueur de violon à une ienêtre,,,,O,I,
406, ,Drolling michel martin, (1786-1851). ,plafond louis xill proclamé père du peuple aux étatsgénéraux de tours en 1506 — voussures armes de différentes villes vlilllle,,,,,Céramique antique I,
407, ,Drolling michel martin, (1786-1851). ,la loi descend sur la terre — voussures  la sagesse inspirant la loi la justice dirigeant la force iime,,,,,Ire S Meubles XVIIIe,
408,S N ,Drouais hubert, (16^9-17671. ,portrait de melle pélissier d'après i,,,,,Coll Schlichting,
409,267 ,Drouais françois hubert, (i727-1775). ,portrait du sculpteur edme bouchardon,,,,N,XVI,
410,S N ,Drouais françois hubert, (i727-1775). ,portrait de jeune femme,,,,,Coll Schlichting,
411,S N ,Drouais françois hubert, (i727-1775). ,portrait de mme loys,,,,,V,
412,269 ,Drouais jean germain, (1763-1788). ,le christ et la chananéenne,,,,E,XV,
413,272 ,Dubois ambroise, (15/13-1614). ,le baptême de clorinde par tancrède,,,,,XI,
414,271 ,Du breuil toussaint, (1562-1602). ,sacrifice antique,,,,,XI,
415,272 a ,Dubufe edouard, (1820-1883). ,portrait du peintre philippe rousseau,,,,,E F XIXe S 1er étage I,
416,S N ,Dubufe edouard, (1820-1883). ,portrait de la comtesse hallez claparède,,,,,E F XIXe S 1er étage I,
417,S N ,Ducreux joseph, (1737-1802). ,son portrait par lui même,,,,E,XVI,
418,S N ,Ducreux joseph, (1737-1802). ,portrait de j ch laveaux pastel,,,,,S des Pastels,
419,S Nu ,Ducreux joseph, (1737-1802). ,son portrait par lui même pastel ,,,,,S des Pastels,
420, ,Dumas michel, (1814-1885). ,homère déifié d'après ingres plafond,,,,,Musée Charles X S IX,
421,275 ,Dumont jacques, (1701-1781). ,mme mercier nourrice du duc d'anjou louis xv entourée de sa famille,,,,S,XVI,data/images_paintings/421.jpg
422,276 ,Duplessis joseph siffrein ou siffred, (1725-1802). ,portrait du sculpteur christophe gabriel allegrain,,,,S,XVI,
423,277 ,Duplessis joseph siffrein ou siffred, (1725-1802). ,portrait du peintre joseph marie vien,,,,E,XVI,
424,277 a ,Duplessis joseph siffrein ou siffred, (1725-1802). ,portrait de femme tenant une brochure attribué,,,,O,I,
425,S N ,Duplessis joseph siffrein ou siffred, (1725-1802). ,portrait de m lenoir,,,,N,XVI,
426,2864 ,Dupré jules, (1811-1889). ,l'étang,65.0,55.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE001115/06-526878.jpg,,T T,data/images_paintings/426.jpg
427,2865 ,Dupré jules, (1811-1889). ,la petite charrette,33.0,25.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE001110/11-531232.jpg,,T T,data/images_paintings/427.jpg
428,2866 ,Dupré jules, (1811-1889). ,l'automne,,,,,T T,
429,2867 ,Dupré jules, (1811-1889). ,la mare,41.0,24.2,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Jules_Dupr%C3%A9_-_Landschap_met_koeien_bij_een_waterplas_%28La_mare%29_-_0405_-_Rijksmuseum_Twenthe.jpg/1200px-Jules_Dupr%C3%A9_-_Landschap_met_koeien_bij_een_waterplas_%28La_mare%29_-_0405_-_Rijksmuseum_Twenthe.jpg,,T T,data/images_paintings/429.jpg
430,2868 ,Dupré jules, (1811-1889). ,pâturage de normandie,,,,,T T,
431,2869 ,Dupré jules, (1811-1889). ,paysage avec rivière,42.0,24.5,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE001103/95de14130.jpg,,T T,data/images_paintings/431.jpg
432,2870 ,Dupré jules, (1811-1889). ,vaches au bord de l'eau,32.5,24.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE001122/95de24153.jpg,,T T,data/images_paintings/432.jpg
433,2871 ,Dupré jules, (1811-1889). ,les landes,92.5,66.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE001118/84ee937.jpg,,T T,data/images_paintings/433.jpg
434,2872 ,Dupré jules, (1811-1889). ,bords de rivière,25.5,15.2,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE001111/95de24148.jpg,,T T,data/images_paintings/434.jpg
435,2873 ,Dupré jules, (1811-1889). ,le grand chêne,120.0,82.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE001121/95-014381.jpg,,T T,data/images_paintings/435.jpg
436,2874 ,Dupré jules, (1811-1889). ,soleil couchant sur un marais,76.0,52.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE001109/06-526880.jpg,,T T,data/images_paintings/436.jpg
437,2940 ,Dupré jules, (1811-1889). ,le matin panneau décoratif,,,,,E F XIXe S 2e étage I,data/images_paintings/437.jpg
438,2942 ,Dupré jules, (1811-1889). ,paysage,54.0,35.0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Jules_Dupr%C3%A9_-_Paysage_village.jpg/1200px-Jules_Dupr%C3%A9_-_Paysage_village.jpg,,E F XIXe S 2e étage II,data/images_paintings/438.jpg
439,2943 ,Dupré jules, (1811-1889). ,son portrait par lui même,,,,,E F XIXe S 2e étage II,
440,56,Dupré jules, (1811-1889). ,la mare aux chênes,84.5,101.0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/La_Mare_aux_chenes-Jules_Dupre-IMG_8353.JPG/1200px-La_Mare_aux_chenes-Jules_Dupre-IMG_8353.JPG,,Coll Chauchard galerie,data/images_paintings/440.jpg
441,57,Dupré jules, (1811-1889). ,la vanne,69.0,50.8,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE001106/95-018821.jpg,,Coll Chauchard II,data/images_paintings/441.jpg
442,58,Dupré jules, (1811-1889). ,le chemin de la ferme,54.0,30.2,,,Coll Chauchard galerie,
443,59,Dupré jules, (1811-1889). ,le berger soleil couchant,62.5,36.3,,,Coll Chauchard galerie,
444,60,Dupré jules, (1811-1889). ,le chêne,120.0,82.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE001121/95-014381.jpg,,Coll Chauchard III,data/images_paintings/444.jpg
445,61,Dupré jules, (1811-1889). ,la mare près du moulin,40.9,31.5,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE001108/12-570557.jpg,,Coll Chauchard galerie,data/images_paintings/445.jpg
446, ,Durameau louis jacques, (1733-1796). ,l'été ou cérès et ses compagnes implorant le soleil plafond,,,,,Galerie d'Apollon,
447,S N ,Dutilleux henri joseph constant, (1807-1865). ,l'enfant au papillon,59.0,73.2,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE001128/93de1639.jpg,,E F XIXe S 1er étage I,data/images_paintings/447.jpg
448,S Nu ,Fantin latour henri," (18^,0-1004). ",le coin de table 11872 portraits des poètes p verlaine a rimbaud etc,,,,,Marine,
449,279 ,Favray le chevalier antoine de, 11706-1791). ,dames de malte se faisant visite,63.0,49.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE001137/82de1356.jpg,N,XVI,data/images_paintings/449.jpg
450,280 ,Favray le chevalier antoine de, 11706-1791). ,portrait de jeune femme maltaise,62.0,78.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE001136/94de15151.jpg,O,I,data/images_paintings/450.jpg
451,283 ,Flandrin jean hippolyte, (180^-1864). ,figure d'étude,,,,,E F XIXe S 1er étage I,
452,284 ,Flandrin jean hippolyte, (180^-1864). ,portrait de jeune fille,52.0,65.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE001142/11-526446.jpg,N,VIII,data/images_paintings/452.jpg
453,285 ,Flandrin jean hippolyte, (180^-1864). ,portrait de mille vinet,,,,,E F XIXe S 2e étage I,
454,286 ,Fiers camille, (1802-1868). ,paysage environs de paris,,,,,E F XIXe S 2e étage I,
455,288 ,Fouquet jean, (vers 1415 ou 1.120? — vers 1480). ,portrait de guillaume juvénal ou jouvenel des ursins chancelier de france sous charles vii et louis xi attribué,,,,,X,
456,289 ,Fouquet jean, (vers 1415 ou 1.120? — vers 1480). ,portrait de charles vii roi de france,70.6,85.7,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/KarlVII.jpg/1200px-KarlVII.jpg,,X,data/images_paintings/456.jpg
457, ,Fragonard alexandre evariste, (1780-1850). ,plafond françois ier reçoit les tableaux et statues rapportés d'italie par le primatice — voussures  génies présidant aux arts dans des médaillons,,,,,Céramique antique IV,
458, ,Fragonard alexandre evariste, (1780-1^50 ,plaionu françois ler armé chevalier par bavard voussures  génies présidant à la chevalerie,,,,,Céramique antique VI,
459, ,Fragonard alexandre evariste, (1780-1^50 ,six bas reliets grisailles les arts rendent hommage au souverain dessous de corniche,,,,,Musée Charles X S I,
460, ,Fragonard alexandre evariste, (1780-1^50 ,huit bas reliefs grisailles  génies rendant hommage à leurs dieux protecteurs dessous de,,,,,VI tr A,
461, ,Fragonard alexandre evariste, (1780-1^50 ,deux bas reliefs grisailles  les beaux   arts témoignent leur reconnaissance au génie protecteur qui les couronne dessous de corniche passage précédent la,,,,,III,
462,291 ,Fragonard jean honoré, (1732-1806). ,la leçon de musique,121.0,109.0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Jean-Honor%C3%A9_Fragonard_012.jpg/1200px-Jean-Honor%C3%A9_Fragonard_012.jpg,S,XVI,data/images_paintings/462.jpg
463,291 a ,Fragonard jean honoré, (1732-1806). ,le vœu à l'amour,32.5,24.0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Fragonard%2C_il_voto_d%27amore%2C_1780-85_ca..JPG/1200px-Fragonard%2C_il_voto_d%27amore%2C_1780-85_ca..JPG,S,XVI,data/images_paintings/463.jpg
464,293 ,Fragonard jean honoré, (1732-1806). ,les baigneuses,80.0,64.0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Las_ba%C3%B1istas%2C_por_Jean-Honor%C3%A9_Fragonard.JPG/1200px-Las_ba%C3%B1istas%2C_por_Jean-Honor%C3%A9_Fragonard.JPG,O,I,data/images_paintings/464.jpg
465,294 ,Fragonard jean honoré, (1732-1806). ,bacchante endormie,55.0,46.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE001195/06-503591.jpg,E,I,data/images_paintings/465.jpg
466,295 ,Fragonard jean honoré, (1732-1806). ,la chemise enlevée,42.5,35.0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Jean-Honor%C3%A9_Fragonard_-_The_Shirt_Withdrawn_-_WGA8069.jpg/1200px-Jean-Honor%C3%A9_Fragonard_-_The_Shirt_Withdrawn_-_WGA8069.jpg,O,I,data/images_paintings/466.jpg
467,296 ,Fragonard jean honoré, (1732-1806). ,la musique portrait de m de la bretèche,65.0,80.0,https://upload.wikimedia.org/wikipedia/commons/4/4d/Jean-Honor%C3%A9_Fragonard_-_Monsieur_de_la_Bret%C3%A8che_%28Fanciful_Figure%29_-_WGA8065.jpg,O,I,data/images_paintings/467.jpg
468,297 ,Fragonard jean honoré, (1732-1806). ,l'étude,65.5,81.5,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Jean-Honor%C3%A9_Fragonard_011.jpg/1200px-Jean-Honor%C3%A9_Fragonard_011.jpg,O,I,data/images_paintings/468.jpg
469,298 ,Fragonard jean honoré, (1732-1806). ,l'inspiration    ,64.5,80.5,https://upload.wikimedia.org/wikipedia/commons/5/58/Fragonard%2C_Inspiration.jpg,O,I,data/images_paintings/469.jpg
470,300 ,Fragonard jean honoré, (1732-1806). ,jeune femme,45.5,54.5,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE001196/11-551308.jpg,O,I,data/images_paintings/470.jpg
471,301 ,Fragonard jean honoré, (1732-1806). ,l'orage,97.0,73.0,https://upload.wikimedia.org/wikipedia/commons/5/56/Jean-Honor%C3%A9_Fragonard_-_The_Storm_-_WGA8053.jpg,O,I,data/images_paintings/471.jpg
472,303 ,Fragonard jean honoré, (1732-1806). ,sganarelle dans le médecin malgré lui  acte 1 scène vi peut être par watteati,,,,E,I,
473,S N ,Fragonard jean honoré, (1732-1806). ,l'enfant aux fleurs,13.0,19.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE001178/08-522128.jpg,,Coll Schlichting,data/images_paintings/473.jpg
474,S X ,Fragonard jean honoré, (1732-1806). ,le songe d'amour du guerrier  ,50.5,61.5,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Fragonard%2C_il_sogno_d%27amore_del_guerriero%2C_ante_1791.JPG/1200px-Fragonard%2C_il_sogno_d%27amore_del_guerriero%2C_ante_1791.JPG,,Coll Schlichting,data/images_paintings/474.jpg
475,S X ,Fragonard jean honoré, (1732-1806). ,le nid d'oiseaux,19.0,27.5,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE001197/08-540224.jpg,,Coll Schlichting,data/images_paintings/475.jpg
476,304 ,Fréminet martin, (1567-1614). ,mercure ordonne à enée d'abandonner didon attribué,,,,,XI,
477,305 ,Fromentin eugène, (1820-1870). ,chasse au faucon en algérie la curée,118.0,162.5,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Eug%C3%A8ne_fromentin%2C_caccia_al_falcone_in_algeria%2C_la_corsa%2C_1863.JPG/1200px-Eug%C3%A8ne_fromentin%2C_caccia_al_falcone_in_algeria%2C_la_corsa%2C_1863.JPG,,E F XIXe S 2e étage II,data/images_paintings/477.jpg
478,306 ,Fromentin eugène, (1820-1870). ,le campement arabe,144.0,104.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE001214/97-005051a.jpg,,E F XIXe S 1er étage II,data/images_paintings/478.jpg
479,307 ,Fromentin eugène, (1820-1870). ,femmes égyptiennes au bord du nil,105.0,120.0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Eug%C3%A8ne_Fromentin_-_Souvenir_d%27Ezneh%2C_Haute-%C3%89gypte_-_Orsay_RF_515.jpg/1200px-Eug%C3%A8ne_Fromentin_-_Souvenir_d%27Ezneh%2C_Haute-%C3%89gypte_-_Orsay_RF_515.jpg,,E F XIXe S 2e étage II,data/images_paintings/479.jpg
480,2876 ,Fromentin eugène, (1820-1870). ,chasse au fducon,,,,,T T,
481,2877 ,Fromentin eugène, (1820-1870). ,halte de cavaliers,94.5,73.5,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE001216/92de1599.jpg,,T T,data/images_paintings/481.jpg
482,62,Fromentin eugène, (1820-1870). ,halte de cavaliers arabes,94.5,73.5,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE001216/92de1599.jpg,,Musée Charles X S III,data/images_paintings/482.jpg
483,63,Fromentin eugène, (1820-1870). ,la fantasia,,,,,Coll Chauchard galerie,
484, ,Garnier etienne barthélemy, (17=10-1849). ,hercule obtenant de diane la biche aux cornes d'or peinture dans un des tympans de la voûte,,,,,S Grecque,
485, ,Gassies jean bruno, (178Ó-IS12). ,aliégories de la paix de la justice de la force et de la loi génies symbolisant les sciences les arts l'agriculture le commerce voussures du plafond,,,,,S Meubles XVIIe,
486,310 ,Gellée claude, (1000-1082). ,vue d'un port effet de soleil levant,,,,S,XIV,
487,311 ,Gellée claude, (1000-1082). ,vue du campo vaccino à rome,,,,S,XIV,
488,312 ,Gellée claude, (1000-1082). ,la fète villageoise,135.0,103.0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Claude_Lorrain_012.jpg/1200px-Claude_Lorrain_012.jpg,N,XIV,data/images_paintings/488.jpg
489,313 ,Gellée claude, (1000-1082). ,un port du mer au soleil couchant,,,,N,XIV,
490,314 ,Gellée claude, (1000-1082). ,le débarquement de cléopâtre à tarse,168.0,119.0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/The_Disembarkation_of_Cleopatra_at_Tarsus_1642_Claude_Lorrain.jpg/1200px-The_Disembarkation_of_Cleopatra_at_Tarsus_1642_Claude_Lorrain.jpg,N,XIV,data/images_paintings/490.jpg
491,315 ,Gellée claude, (1000-1082). ,david sacré roi par samuel,150.0,119.0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/David_sacr%C3%A9_roi_par_le_proph%C3%A8te_Samuel_-_Claude_Le_Lorrain_-_Mus%C3%A9e_du_Louvre_INV_4717.jpg/1200px-David_sacr%C3%A9_roi_par_le_proph%C3%A8te_Samuel_-_Claude_Le_Lorrain_-_Mus%C3%A9e_du_Louvre_INV_4717.jpg,S,XIV,data/images_paintings/491.jpg
492,316 ,Gellée claude, (1000-1082). ,ulysse remet chryséis à son père,150.0,119.0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Ulysse_remet_Chrys%C3%A9is_%C3%A0_son_p%C3%A8re_by_Gel%C3%A9e_Louvre_INV4718_n01.jpg/1200px-Ulysse_remet_Chrys%C3%A9is_%C3%A0_son_p%C3%A8re_by_Gel%C3%A9e_Louvre_INV4718_n01.jpg,N,XIV,data/images_paintings/492.jpg
493,317 ,Gellée claude, (1000-1082). ,vue d'un port de mer effet de soleil voilé par une bru me,,,,S,XIV,
494,318 ,Gellée claude, (1000-1082). ,un port de mer,137.0,103.0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/F0087_Louvre_Gellee_port_au_soleil_couchant-_INV4715_rwk.jpg/1200px-F0087_Louvre_Gellee_port_au_soleil_couchant-_INV4715_rwk.jpg,S,XIV,data/images_paintings/494.jpg
495,319 ,Gellée claude, (1000-1082). ,marine,150.0,119.0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Ulysse_remet_Chrys%C3%A9is_%C3%A0_son_p%C3%A8re_by_Gel%C3%A9e_Louvre_INV4718_n01.jpg/1200px-Ulysse_remet_Chrys%C3%A9is_%C3%A0_son_p%C3%A8re_by_Gel%C3%A9e_Louvre_INV4718_n01.jpg,N,XIV,data/images_paintings/495.jpg
496,322 ,Gellée claude, (1600-1682;. ,le gué,150.0,118.0,https://upload.wikimedia.org/wikipedia/commons/e/ec/Claude_Lorrain_-_Landscape_with_Paris_and_Oenone_-_WGA05003.jpg,N,XIV,data/images_paintings/496.jpg
497,323 ,Gellée claude, (1600-1682;. ,entrée d'un port vue de la mer,,,,S,XIV,
498,324 ,Gellée claude, (1600-1682;. ,siège de la rochelle prise par louis xiii le 8 octobre ô28,,,,S,XIV,
499,325 ,Gellée claude, (1600-1682;. ,le pas de suze forcé par louis xiii en 1029,,,,S,XIV,
500,326 ,Gellée claude, (1600-1682;. ,paysage attribué,,,,E,I,
501,328 ,Gérard françois pascal simon, (1770-18; 7). ,psyché reçoit le premier baiser de l'amour,,,,S,II,
502,329 ,Gérard françois pascal simon, (1770-18; 7). ,daphnis et chloé,,,,N,III,
503,332 ,Gérard françois pascal simon, (1770-18; 7). ,portrait de m isabey peintre en miniature et de sa fille depuis mme ciceri,,,,E,III,
504,333 ,Gérard françois pascal simon, (1770-18; 7). ,portrait du sculpteur antonio canova,,,,O,I,
505,336 ,Gérard françois pascal simon, (1770-1837). ,portrait de la comtesse regnaud de saintjean d'angély,,,,O,III,
506,337 ,Gérard françois pascal simon, (1770-1837). ,portrait de la marquise visconti,,,,S,III,
507,S N ,Gérard françois pascal simon, (1770-1837). ,portrait de madame barbier walbonne,,,,O,I,
508,338 ,Géricault jean louis andré théodore, (17° J - J 824). ,le radeau de la méduse,716.0,491.0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/JEAN_LOUIS_TH%C3%89ODORE_G%C3%89RICAULT_-_La_Balsa_de_la_Medusa_%28Museo_del_Louvre%2C_1818-19%29.jpg/1200px-JEAN_LOUIS_TH%C3%89ODORE_G%C3%89RICAULT_-_La_Balsa_de_la_Medusa_%28Museo_del_Louvre%2C_1818-19%29.jpg,O,VIII,data/images_paintings/508.jpg
509,339 ,Géricault jean louis andré théodore, (17° J - J 824). ,officier de chasseurs à cheval de la garde impériale chargeant portrait équestre de m dieudonné officier des guides de l'empereur,,,,O,VIII,data/images_paintings/509.jpg
510,340 ,Géricault jean louis andré théodore, (17° J - J 824). ,officiers de chasseurs à cheval de la garde impériale esquisse,,,,,E F XIXe S 1er étage II,
511,342 ,Géricault jean louis andré théodore, (1791-18241. ,le cuirassier blessé esquisse,46.0,55.2,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Brooklyn_Museum_-_The_Wounded_Cuirassier_study_%28Le_Cuirassier_bless%C3%A9_quittant_le_feu_esquisse%29_-_Th%C3%A9odore_G%C3%A9ricault.jpg/1200px-Brooklyn_Museum_-_The_Wounded_Cuirassier_study_%28Le_Cuirassier_bless%C3%A9_quittant_le_feu_esquisse%29_-_Th%C3%A9odore_G%C3%A9ricault.jpg,,E F XIXe S 1er étage II,data/images_paintings/511.jpg
512,343 ,Géricault jean louis andré théodore, (1791-18241. ,un carabinier,85.0,101.0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/G%C3%A9ricault_-_Portrait_de_carabinier_-_Louvre.jpg/1200px-G%C3%A9ricault_-_Portrait_de_carabinier_-_Louvre.jpg,,E F XIXe S 1er étage III,data/images_paintings/512.jpg
513,344 ,Géricault jean louis andré théodore, (1791-18241. ,le four à plâtre,61.0,50.0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Jean_Louis_Th%C3%A9odore_G%C3%A9ricault_007.jpg/1200px-Jean_Louis_Th%C3%A9odore_G%C3%A9ricault_007.jpg,,E F XIXe S 1er étage I,data/images_paintings/513.jpg
514,345 ,Géricault jean louis andré théodore, (1791-18241. ,cheval turc dans une écurie,25.0,35.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE001276/89ee1592.jpg,,E F XIXe S 1er étage I,data/images_paintings/514.jpg
515,348 ,Géricault jean louis andré théodore, (1791-18241. ,course de chevaux à epsom en 1821,,,,O,VIII,
516,349 ,Géricault jean louis andré théodore, (1791-18241. ,la course,60.0,45.0,https://upload.wikimedia.org/wikipedia/commons/1/1d/Riderless_Horse_Races_1817_Theodore_Gericault.jpg,,E F XIXe S 1er étage I,data/images_paintings/516.jpg
517,350 ,Géricault jean louis andré théodore, (1791-18241. ,tête de chien bouledogue,,,,,E F XIXe S 1er étage I,
518,350 a ,Géricault jean louis andré théodore, (1791-18241. ,la course des barberi au corso à rome,,,,,E F XIXe S 1er étage II,
519,351 ,Géricault jean louis andré théodore, (1791-18241. ,chevaux de course,41.0,29.0,,,E F XIXe S 1er étage II,
520,352 ,Géricault jean louis andré théodore, (1791-18241. ,chevaux de course,41.0,29.0,,,E F XIXe S 1er étage II,
