,number,author,life,title,position
541,316 ,"Gellée, Claude, dit Claude Lorrain.", (1000-1082). ,Ulysse remet Chryséis à son père. ,XIV-N
542,317 ,"Gellée, Claude, dit Claude Lorrain.", (1000-1082). ,Vue d'un port de mer; effet de soleil voilé par une bru me. ,XIV-S
543,318 ,"Gellée, Claude, dit Claude Lorrain.", (1000-1082). ,Un port de mer ,XIV-S
544,319 ,"Gellée, Claude, dit Claude Lorrain.", (1000-1082). ,Marine. ,XIV-N
545,322 ,"Gellée, Claude, dit Claude Lorrain.", (1600-1682;. ,Le gué ,XIV-N
546,323 ,"Gellée, Claude, dit Claude Lorrain.", (1600-1682;. ,"Entrée d'un port, vue de la mer ",XIV-S
547,324 ,"Gellée, Claude, dit Claude Lorrain.", (1600-1682;. ,"Siège de la Rochelle prise par Louis XIII, le 8 octobre )ô28. ",XIV-S
548,325 ,"Gellée, Claude, dit Claude Lorrain.", (1600-1682;. ,Le Pas de Suze forcé par Louis XIII en 1029. ,XIV-S
549,326 ,"Gellée, Claude, dit Claude Lorrain.", (1600-1682;. ,Paysage (Attribué.) ,I-E
550,328 ,"Gérard, François-Pascal-Simon, baron.", (1770-18; 7). ,Psyché reçoit le premier baiser de l'Amour ,II-S
551,329 ,"Gérard, François-Pascal-Simon, baron.", (1770-18; 7). ,Daphnis et Chloé. ,III-N
552,332 ,"Gérard, François-Pascal-Simon, baron.", (1770-18; 7). ,"Portrait de M. Isabey, peintre en miniature, et de sa fille (depuis Mme Ciceri) ",III-E
553,333 ,"Gérard, François-Pascal-Simon, baron.", (1770-18; 7). ,Portrait du sculpteur Antonio Canova ,11-0
555,336 ,"Gérard, François-Pascal-Simon, baron.", (1770-1837). ,Portrait de la comtesse Regnaud de SaintJean-d'Angély ,111-0
556,337 ,"Gérard, François-Pascal-Simon, baron.", (1770-1837). ,Portrait de la marquise Visconti ,III-S
557,S. N° ,"Gérard, François-Pascal-Simon, baron.", (1770-1837). ,Portrait de Madame Barbier-Walbonne ,11-0
558,338 ,"Géricault, Jean-Louis-André-Théodore.", (17° J - J 824). ,Le radeau de la Méduse. ,VIII-0
559,339 ,"Géricault, Jean-Louis-André-Théodore.", (17° J - J 824). ,"Officier de chasseurs à cheval de la garde impériale, chargeant. (Portrait équestre de M. Dieudonné. officier des guides de l'empereur) ",VIII-0
560,340 ,"Géricault, Jean-Louis-André-Théodore.", (17° J - J 824). ,"Officiers de chasseurs à cheval de la garde impériale, esquisse ",E. F. XIXe S. 1er étage II
561,342 ,"Géricault, Jean-Louis-André-Théodore.", (1791-18241. ,"Le cuirassier blessé, esquisse ",E. F. XIXe S. 1er étage II
562,343 ,"Géricault, Jean-Louis-André-Théodore.", (1791-18241. ,Un carabinier.,E. F. XIXe S. 1er étage III
563,344 ,"Géricault, Jean-Louis-André-Théodore.", (1791-18241. ,Le four à plâtre,E. F. XIXe S. 1er étage I
564,345 ,"Géricault, Jean-Louis-André-Théodore.", (1791-18241. ,Cheval turc dans une écurie.,E. F. XIXe S. 1er étage I
565,348 ,"Géricault, Jean-Louis-André-Théodore.", (1791-18241. ,"Course de chevaux à Epsom, en 1821. ",VIII-0
566,349 ,"Géricault, Jean-Louis-André-Théodore.", (1791-18241. ,La course. ,E. F. XIXe S. 1er étage 1
567,350 ,"Géricault, Jean-Louis-André-Théodore.", (1791-18241. ,Tête de chien bouledogue.,E. F. XIXe S. 1er étage 1
568,350 a ,"Géricault, Jean-Louis-André-Théodore.", (1791-18241. ,"La course des Barberi, au Corso, à Rome.",E. F. XIXe S. 1er étage II
569,351 ,"Géricault, Jean-Louis-André-Théodore.", (1791-18241. ,Chevaux de course.,E. F. XIXe S. 1er étage II
570,352 ,"Géricault, Jean-Louis-André-Théodore.", (1791-18241. ,Chevaux de course.,E. F. XIXe S. 1er étage II
571,353 ,"Géricault, Jean-Louis-André-Théodore.", (1791-18241. ,Cheval.,E. F. XIXe S. 1er étage 1
572,354 ,"Géricault, Jean-Louis-André-Théodore.", (1791-18241. ,Intérieur d'écurie.,E. F. XIXe S. 1er étage II
573,355 b ,"Géricault, Jean-Louis-André-Théodore.", (1791-18241. ,"Portrait présumé du peintre, par lui-même",E. F. XIXe S. 1er étage III
574,356 ,"Géricault, Jean-Louis-André-Théodore.", (1791-1821) ,La Justice et la Vengeance divine poursuivant le Crime. (D'après PRUD'HON.) ,E. F. XIXe S. 1er étage II
575,S. N° ,"Géricault, Jean-Louis-André-Théodore.", (1791-1821) ,Portrait du peintre A. Colin.,E. F. XIXe S. 1er étage 1
576,S. N° ,"Géricault, Jean-Louis-André-Théodore.", (1791-1821) ,Première esquisse du Radeau de la Méduse.,E. F. XIXe S. 1er étage II
577,S. No ,"Gérôme, Léon.", (1824-1904). ,Un combat de coqs,"Marine, 1"
578,* ,"Gérôme, Léon.", (1824-1904). ,"Voir Clouet, d'après. 2944 Gigoux, Jean-François. (1809-1895). — Portrait du général polonais Dwernicki  ",E. F. XIXe S. 1er étage II
579,2945 ,"Gérôme, Léon.", (1824-1904). ,Portrait de Charles Fourier.,"Marine, 1"
581,361 ,"Girodet de Roucy Trioson, Anne-Louis.", (1707-1824). ,Le sommeil d'Endymion ,11-0
582,362 a ,"Girodet de Roucy Trioson, Anne-Louis.", (1767-1824). ,Portrait du Baron Dominique-Jean Larrey (1766(842) ,II-E
583,S. No ,"Girodet de Roucy Trioson, Anne-Louis.", (1767-1824). ,Etude pour le sommeil d'Endymion,Coll. Schlichting
584,363 ,"Gleyre, Charles.", (1807-1874). ,"Les illusions perdues, ou le Soir ",E. F. XIXe S. 1er étage I
586,365 ,"Gourmont, Jean de.", (vivait en 1557). ,La Nativité ,XI
587,366 ,"Granet, François-Marius.", (177^-1849). ,Vue intérieure du Colisée à Rome. ,E. F. XIXe S. 1er étage 1
588,367 ,"Granet, François-Marius.", (177^-1849). ,Le peintre Sodoma porté à l'hôpital.,"Marine, 1"
589,367 a ,"Granger, Jean-Pierre, ou Perrin.", (1779-1840). ,Portrait de Madame Granger ,VIII-0
590,368 ,"Greuze, Jean-Baptiste."," (172=,-180=,). ","L'empereur Sévère reproche à Caracalla, son fils, d'avoir voulu l'assassiner. ",XV-E
591,369 ,"Greuze, Jean-Baptiste."," (172=,-180=,). ",L'accordée de village ,XVI-E
592,370 ,"Greuze, Jean-Baptiste."," (172=,-180=,). ",La malédiction paternelle ,XVI-S
593,371 ,"Greuze, Jean-Baptiste."," (172=,-180=,). ","Le fils puni. ',' ",XVI-S
594,372 ,"Greuze, Jean-Baptiste."," (172=,-180=,). ",La cruche cassée ,XVI-S
595,372 a ,"Greuze, Jean-Baptiste."," (172=,-180=,). ",La laitière. ,XVI-N
596,372 c ,"Greuze, Jean-Baptiste."," (172=,-180=,). ",L'oiseau mort. ,XVI-N
597,372 d ,"Greuze, Jean-Baptiste."," (172=,-180=,). ",L'enfant à la poupée. ,XVI-S
598,372 e ,"Greuze, Jean-Baptiste."," (172=,-180=,). ",L'effroi. ,XVI-S
599,373 ,"Greuze, Jean-Baptiste."," (172=,-180=,). ",Portrait du peintre Etienne Jeaurat ,XVI-E
600,373 a ,"Greuze, Jean-Baptiste."," (172=,-180=,). ",Portrait d'homme. : ,XVI-E
601,373 b ,"Greuze, Jean-Baptiste."," (172=,-180=,). ",Portrait du médecin Duval.,IVe S. Meubles XVIIIe
602,374 ,"Greuze, Jean-Baptiste.", (1725-1805). ,Tête de jeune fille; étude. ,XVI-N
603,375 ,"Greuze, Jean-Baptiste.", (1725-1805). ,Tête de jeune fille; étude ,XVI-N
604,376 ,"Greuze, Jean-Baptiste.", (1725-1805). ,Tête de jeune fine. ,I-E
605,377 ,"Greuze, Jean-Baptiste.", (1725-1805). ,Danaë 1-0 ■ 379,- Portrait de Fabre _d'Eglantine I-E
606,381 ,"Greuze, Jean-Baptiste.", (1725-1805). ,"Son portrait, par lui-même. ",XVI-E
609,S. N° ,"Greuze, Jean-Baptiste.", (1725-1805). ,"L'innocence enchaînée par les Amours, et suivie du Repentir. :",Coll. Schlichting
611,384 ,"Grimou, Alexis.", ( 1678-1733). ,"-Son portrait, par lui-même ",XVI-S
612,385 ,"Grimou, Alexis.", ( 1678-1733). ,Un buveur. ,XVI-S
613,388 ,"Gros, Antoine-Jean, baron.", (1771-1835). ,Le général en chef Bonaparte visite les pestiférés de Jaffa 111-0 .389,— Napoléon sur le champ de bataille d'Evlau III-E
614,390 ,"Gros, Antoine-Jean, baron.", (1771-1835). ,— François Ier et Charles-Quint visitant les tomT beaux de l'église de Saint-Denis,S. dessins XIXe
615,391 ,"Gros, Antoine-Jean, baron.", (1771-1835). ,Bonaparte à Arcole.:.:. ,III-E
616,391 a ,"Gros, Antoine-Jean, baron.", (1771-1835). ,"Portrait de Christine Boyer, première femme du prince Lucien Bonaparte. ",III-S
617,392 ,"Gros, Antoine-Jean, baron.", (1771-1835). ,"Portrait du comte Alcide de la Rivallière, élève",- de Gros. III-E
618,* ,"Gros, Antoine-Jean, baron.", (1771-1835). ,"Plafond: Le Génie de la France anime les arts, protège l'humanité. — Voussures: Enfants tenant l'écu royal ou des guirlandes et couronnes de laurier.","Musée Charles X, S. 1"
619,* ,"Gros, Antoine-Jean, baron.", (1771-1835). ,"Plafond : La véritable Gloire s'appuie sur la Vertu; Mars écoutant la modération; le Temps élève la Vérité; Six compartiments, bustes de Périclès, Auguste, Léon X François 1er, Louis XIV, Charles X. —",S. V
621,S. o ,"S. ? Gudin, Théodore.", (1802-1879). ,"Marine, naufrage 389",- GRos. (64) HENNER
622,393 ,"Guérin, Pierre-Narcisse, baron.", (1774-1833). ,Le :. retour de Marcus Sextus,- GRos. (64) III-N
623,395 ,"Guérin, Pierre-Narcisse, baron.", (1774-1833). ,Phèdre et Hippolyte.  ,II-E
624,396 ,"Guérin, Pierre-Narcisse, baron.", (1774-1833). ,Andromaque et Pyrrhus. ,II-N
625,397 ,"Guérin, Pierre-Narcisse, baron.", (1774-1833). ,Enée racontant à Didon les malheurs de la ville de Troie. ,II-N
626,397 a ,"Guérin, Pierre-Narcisse, baron.", (1774-1833). ,Enée et Didon (première pensée du tableau précédent) ,11-0
627,398 ,"Guérin, Pierre-Narcisse, baron.", (1774-1833). ,Clytemnestre conseillée par Egisthe s'apprête à frapper Agamemlion ,III-E
628,399 ,"Guérin, Pierre-Narcisse, baron.", (1774-1833). ,L'Aurore et Céphale ,III-N
629,* ,"Guérin, Pierre-Narcisse, baron.", (1774-1833). ,Deux génies de l'immortalité; médaillon du plafond,S. des Antonins
630,* ,"Guiard, Mme, née Adélaïde Labille des Vertus, puis Mme Vincent.", (1749-1803). ,Portrait de Pajou sculpteur. Pastel.,S. des Pastels
631,S. No ,"Guiard, Mme, née Adélaïde Labille des Vertus, puis Mme Vincent.", (1749-1803). ,Portrait de Mme Victoire. Pastel.,S. des Pastels
632,400 a ,"Guiard, Mme, née Adélaïde Labille des Vertus, puis Mme Vincent.", (1749-1803). ,Portrait du peintre Vincent. ,11-0
633,* ,"Guichard, Joseph-Benoit.", (1806-1880). ,"Le triomphe de la terre, d'après Le Brun. Voûte",Gai. d'Apollon
634,S. N° ,"Guigou, Paul-Camille.", (1834-1871). ,"Route de la Gineste, près de Marseille. ",E. F. XIXe S. 2e étage II
635,S. N° ,"Guigou, Paul-Camille.", (1834-1871). ,La Lavandière.,E. F. XIXe S. 2e étage II
636,402 ,Halle Noël., ( 1711-1781). ,L'automne ,XVI-S
637,403 ,Halle Noël., ( 1711-1781). ,"Les génies de la poésie, de l'histoire, de la physique et de l'astronomie ",XVI-S
638,404 ,Halle Noël., ( 1711-1781). ,Libéralité de Cimon l'Athénien. ,XVI-S
639,405 ,Halle Noël., ( 1711-1781). ,Dispute de Minerve et de Neptune.,Vest. S. Bronzes
640,406 ,"Hamon, Jean-Louis.", (1821-1874). ,La comédie humaine,S. dessins XIXe S.
641,S. N° ,"Hébert, Ernest.", (1817-1908). ,Le baiser de Judas,Marine
642,S. Nu ,"Hébert, Ernest.", (1817-1908). ,Les Cervarolles ,VIII-N
643,S. No ,"Hébert, Ernest.", (1817-1908). ,La malaria. Campagne romaine. ,E F. XIXe S. 1er étage III
644,S. N° ,"Hébert, Ernest.", (1817-1908). ,Portrait de Mme M'ey-Isabey,S. Isabey
645,408 ,"Heim, François-Joseph.", (1787-1865). ,"Sujet tiré de l'«Histoire des Juifs», par Josèphe. ",VIII-E
648,* ,"Hennequin, Philippe-Auguste", (1763-1833). ,L'Hercule français. Plafond.,S. des Antonins
649,(64 ,"Henner, Jean-Jacques.", (1829-1905). ,La liseuse.,Coll. Chauchard 1
650,410 ,"Hilair, Jean-Baptiste.", (travaillait entre 1781 et 1822) ,La lecture. ,XVI-N
653,410 c ,"Hue, Jean-François.", (1751-1823). ,"Marine, effet de clair de tune.",Marine
657,410 h ,"Hue, Jean-François.", (1751-1823). ,"Vue de la ville, de la rade et du port de St.-Malo, prise de St. Servan. ,",Marine
658,411 ,"Huet, Jean-Baptiste.", (1745-1811). ,Un dogue se jetant sur des oies sauvages et leurs petits.,IVe S. Meubles XVIIIe
659,412 ,"Huet, Paul.", (1803-1869).—L'inondation ,de Saint-Cloud. ,VIII-N
660,412 a ,"Huet, Paul.", (1803-1869).—L'inondation ,Coucher de soleil à Seine-Port. ,E. F. XIXe S. 2e étage 1
661,413 ,"Huet, Paul.", (1803-1869).—L'inondation ,"Calme du matin, intérieur de forêt",E. F. XIXe S. 2e étage 1
662,414 ,"Huet, Paul.", (1803-1869).—L'inondation ,"Fraîcheur des bois, fourré de la forêt",E. F. XIXe S. 2e étage 1
663,2946 ,"Huet, Paul.", (1803-1869).—L'inondation ,Les chasseurs. Forêt de Fontainebleau,E. F. XIXe S. 1er étage III
664,2947 ,"Huet, Paul.", (1803-1869).—L'inondation ,Grande marée d'équinoxe aux environs de Honfleur,E. F. XIXe S. 2e étage 1
665,2948 ,"Huet, Paul.", (1803-1869).—L'inondation ,Le parc de Saint-Cloud un jour de fête,E. F. XIXe S. 2e étage II
667,2949 ,"Huet, Paul.", (1803-1869). ,La ferme. ,E. F. XIXe S. 2e étage II
668,2950 ,"Huet, Paul.", (1803-1869). ,Chaumière normande Vieux Trouvillei,E. F. XIXe S. 2e étage II
669,2951 ,"Huet, Paul.", (1803-1869). ,Cheval normand.,E. F. XIXe S. 2e étage II
670,2952 a ,"Huet, Paul.", (1803-1869). ,Brisants à la pointe de Granville,E. F. XIXe S. 2e étage II
671,"S. N"" ","Huet, Paul.", (1803-1869). ,"L'inondation de Saint-Cloud. Carton""",Esc. T. T.
672,415 ,"Ingres, Jean-Auguste-Dominique.", (1780-1*671. ,Jésus-Christ donne à saint Pierre les clés du Paradis. ,VIII-S
673,416 ,"Ingres, Jean-Auguste-Dominique.", (1780-1*671. ,La Vierge à l'hostie. ,E. F. XIXe S. 1er étage 1
676,419 ,"Ingres, Jean-Auguste-Dominique.", (1780-1867). ,Roger délivrant Angélique. ,VIII-E
677,420 ,"Ingres, Jean-Auguste-Dominique.", (1780-1867). ,"Jeanne d'Arc assistant au sacre de Charles VII, dans la cathédrale de Reims. ",VIII-S
678,421 ,"Ingres, Jean-Auguste-Dominique.", (1780-1867). ,CEdipe expliquant l'énigme. ,V
679,422 ,"Ingres, Jean-Auguste-Dominique.", (1780-1867). ,La source. ,V
680,422 b ,"Ingres, Jean-Auguste-Dominique.", (1780-1867). ,Odalisque couchée. ,VIII-S
681,423 ,"Ingres, Jean-Auguste-Dominique.", (1780-1867). ,La baigneuse. ,VIII-E
682,424 ,"Ingres, Jean-Auguste-Dominique.", (1780-1867). ,La chapelle Sixtine. ,E. F. XIXe S. 1er étage III
683,425 ,"Ingres, Jean-Auguste-Dominique.", (1780-1867). ,Portrait de M. Cordier ,VIII-S
684,426 ,"Ingres, Jean-Auguste-Dominique.", (1780-1867). ,"Portrait de M. Philibert Rivière, maître des requêtes. , ",VIII-0
685,427 ,"Ingres, Jean-Auguste-Dominique.", (1780-1867). ,"Portrait de Mme Rivière (Marie-Françoise Beauregard), femme de M. Philibert Rivière ",VIII-0
686,428 ,"Ingres, Jean-Auguste-Dominique.", (1780-1867). ,"Portrait de Melle Rivière, morte à l'âge de 15 ans ",VIII-S
687,428 a ,"Ingres, Jean-Auguste-Dominique.", (1780-1867). ,"Portrait de M. Bochet, ami du peintre. ",VIII-S
688,428 b ,"Ingres, Jean-Auguste-Dominique.", (1780-1867). ,Portrait de M. Bertin aîné ,VIII-E
689,428 c ,"Ingres, Jean-Auguste-Dominique.", (1780-1867). ,"Vénus Anadyomènc, réduction peinte (Attribué) ",E. F. XIXe S. 1er étage II
690,428 d ,"Ingres, Jean-Auguste-Dominique.", (1780-1867). ,"La Source, réduction peinte (Attribué)",E. F. XIXe S. 1er étage II
691,S. o ,"Ingres, Jean-Auguste-Dominique.", (1780-1867). ,La petite baigneuse. Intérieur de harem.,E. F. XIXe S. 1er étage II
692,S. o ,"Ingres, Jean-Auguste-Dominique.", (1780-1867). ,Le bain turc Rcproduit) ,VIII-N
693,2878 ,"Isabey, Eugène.", (1804-1886). ,Un mariage dans l'église de Delft ,T. T.
694,2879 ,"Isabey, Eugène.", (1804-1886). ,Un baptême à l'église du Tréport. ,T. T.
695,2880 ,"Isabey, Eugène.", (1804-1886). ,Seigneurs sur la plage de Scheveningue ,T. T.
696,2881 ,"Isabey, Eugène.", (1804-1886). ,Le duel ,T. T.
697,2882 ,"Isabey, Eugène.", (1804-1886). ,La visite au château ,T. T.
698,2883 ,"Isabey, Eugène.", (1804-1886). ,La procession. ,T. T.
699,2884 ,"Isabey, Eugène.", (1804-1886). ,Louis XIII au château de Blois ,T. T.
700,2953 ,"Isabey, Eugène.", (1804-1886). ,Embarquement de Ruyter et de William de Witt,Palier esc. T. T.
701,2953 a ,"Isabey, Eugène.", (1804-1886). ,Marée basse.,Palier esc. T. T.
702,2954 ,"Isabey, Eugène.", (1804-1886). ,Le pont ,E. F. XIXe S. 2e étage 1
704,2955 ,"Isabey, Eugène.", (1804-1886). ,Marine ,E. F. XIXe S. 2e étage I
705,(65) ,"Isabey, Eugène.", (1804-1886). ,Arrivée du duc d'Albe à Rotterdam.,"Coll. Chauchard, IV"
706,(66) ,"Isabey, Eugène.", (1804-1886). ,Le déjeuner de la reine,"Coll. Chauchard, galerie"
707,(67) ,"Isabey, Eugène.", (1804-1886). ,L'emprisonnement,"Coll. Chauchard, I"
708,(68) ,"Isabey, Eugène.", (1804-1886). ,La sortie de l'église,"Coll. Chauchard, galerie"
709,(69) ,"Isabey, Eugène.", (1804-1886). ,Le mariage royal,"Coll. Chauchard, galerie"
710,S. N° ,"Isabey, Jean-Baptiste.", (1767-1855). ,Vue du grand escalier du,"Musée du Louvre, construit sous le premier Empire par Percier et Fontaine (Gouache) Vest. S. V."
711,430 ,"Jacobber, Jacob Ber, dit.", (1786-1863). ,"Fleurs etfruits. ,",S. dessins XIXe S.
712,(71) ,"Jacque, Charles.", (1813-189.1). ,La petite bergerie. Paysanne arrangeant les râteliers.,"Coll. Chauchard, galerie"
713,(72) ,"Jacque, Charles.", (1813-189.1). ,La grande bergerie,"Coll. Chauchard, i"
714,430 a ,"Jacque, Charles.", (1813-189.1). ,Troupeau de moutons dans un paysage ,E. F. XIXe S. 2e étage 1
715,433 ,"Jouvenet, Jean.", (1614-1717). ,La pêche miraculeuse ,XIV-N
716,434 ,"Jouvenet, Jean.", (1614-1717). ,La résurrection de Lazare ,XIV-S
717,437 ,"Jouvenet, Jean.", (1614-1717). ,La descente de croix. ,XIV-S
718,440 ,"Jouvenet, Jean.", (1614-1717). ,Vue du maître-autel de Notre-Dame de Paris. ,XIV-S
719,440 a ,"Jouvenet, Jean.", (1614-1717). ,Esquisse du plafond de la Chambre des enquêtes du parlement de Rouen ,XVI-S
720,441 ,"Jouvenet, Jean.", (1614-1717). ,"Portrait de R. Finot, professeur à la Faculté de médecine de Paris, autrefois dit portrait de Fagon, premier médecin du roi Louis XIV ",XIV-S
721,442 ,"La Berge, Auguste-Charles de.", (1805-1842). ,Paysage. ,E. F. XIXe S. 2e étage 1
722,443 ,"La Berge, Auguste-Charles de.", (1805-1842). ,"Passage d'une diligence dans un bourg de Basse Normandie. , , , ,",E. F. XIXe S. 2e étage II
723,(275) ,"La Caze, Louis.", (1798-1869). ,"Son portrait, peint par lui-même, à l'âge de 45 ans environ ",I-N
724,444 ,"La Fosse, Charles de.", (1636-1716). ,"Moïse sauvé des eaux , , , ",XVI-N
725,477 ,"La Fosse, Charles de.", (1636-1716). ,"Le triomphe de Bacchus""",S. dessins Watteau
726,(16) ,Lagneau ou Lanneau, (travaillait au commencement du XVIIe siècle). ,"Portrait de Jean-Pierre Acarie, conseiller-maître de la Chambre des Comptes de Paris. Dessin",Coll. Arconati-Visconti
727,448 ,"Lagrenée, Louis-Jean-François, dit l'aîné.", (1724- 1805). ,L'enlèvement de Déjanire,Vest. S. Bronzes
728,450 ,"Lagrenée, Louis-Jean-François, dit l'aîné.", (1724- 1805). ,"Pleureuse, étude pour la Mort de la femme de Darius, du",Musée d'Angers T. XVI-S
729,* ,"Lagrenée, Jean-Jacques, dit le jeune.", (17401821). ,"L'hiver, ou Eole déchaînant les vents. Plafond.",Gai. d'Apollon
730,452 ,"La Hyre, Laurent de.", (1606-1656). ,La Vierge et ]' Enfant Jésus ,XII
731,453 ,"La Hyre, Laurent de.", (1606-1656). ,L'apparition de Jésus aux trois Maries. ,XIV-0
732,454 ,"La Hyre, Laurent de.", (1606-1656). ,Saint Pierre guérissant les malades avec son ombre. ,XIV-E
733,455 ,"La Hyre, Laurent de.", (1606-1656). ,Saint Pierre guérissant les malades; esquisse du tableau précédent. ,XIV-0
734,457 ,"La Hyre, Laurent de.", (1606-1656). ,Allégorie: La France reçoit la Paix des mains de la Victoire. ,XIV-S
735,458 ,"La Hyre, Laurent de.", (1606-1656). ,Pavsage. Les deux pêcheurs. ,XVI-N
736,S. N° ,"Lami, Eugène.", (1800-1890). ,Entrée de la duchesse d'Orléans aux Tuileries ,E. F. XIXe S. 2e étage II
737,462 ,"Lancret, Nicolas.", (1690-1743). ,Le Printemps ,XVI-S
738,463 ,"Lancret, Nicolas.", (1690-1743). ,L'Été ,XVI-S
739,464 ,"Lancret, Nicolas.", (1690-1743). ,L'Automne. ,XVI-S
740,465 ,"Lancret, Nicolas.", (1690-1743). ,L'Hiver. ,XVI-S
741,466 ,"Lancret, Nicolas.", (1690-1743). ,Les tourterelles. ,XVI-N
742,467 ,"Lancret, Nicolas.", (1690-1743). ,Le nid d'oiseaux ,XVI-N
743,468 ,"Lancret, Nicolas.", (1690-1743). ,La leçon de musique ,XVI-S
744,469 ,"Lancret, Nicolas.", (1690-1743). ,"L'innocence. , ",XVI-S
745,470 ,"Lancret, Nicolas.", (1690-1743). ,Les acteurs de la Comédie italienne ,1-0
746,471 ,"Lancret, Nicolas.", (1690-1743). ,Le Gascon puni. ,I-E
747,472 ,"Lancret, Nicolas.", (1690-1743). ,"La cage. , ",1-0
748,476 ,"Langlois, Jérôme-Martin.", (1770-1818). ,Portrait du peintre David ,111-0
749,477 ,"Lanoue, Félix-Hippolyte.", (1812-1872). ,"Vue de la forêt de pins du Gombo, Cascine de Pise. ",E. F. XIXe S. 2e étage II
750,478 ,"Lanoue, Félix-Hippolyte.", (1812-1872). ,"Vue du Tibre, prise de l'Aqua-Acetosa, campagne de Rome",E. F. XIXe S. 2e étage II
751,479 ,"La Porte, Henri-Horace-Roland de.", (1724?-1793). ,"Vase, globe et instrument de musique ",XVI-S
752,480 ,"La Porte, Henri-Horace-Roland de.", (1724?-1793). ,Ustensiles sur une table de pierre. ,1-0
753,481 ,"Largillierre, Nicolas de.", (1656-1716). ,Le prévôt des marchands et les échevins de la ville de Parisen 1687. ,I-E
754,482 ,"Largillierre, Nicolas de.", (1656-1716). ,"Portrait de Charles Le Brun, premier peintre du roi. ",XIV-S
755,484 ,"Largillierre, Nicolas de.", (1656-1716). ,Portrait de M. du Vaucel ,1-0
756,485 ,"Largillierre, Nicolas de.", (1656-1716). ,Portrait de jeune femme en Diane. ,I-E
757,436 ,"Largillierre, Nicolas de.(", 1656-1746).-Portrait ,d'homme ,I-E
758,487 ,"Largillierre, Nicolas de.(", 1656-1746).-Portrait ,Portrait' d'un échevin de la ville de Paris ,1-0
759,488 ,"Largillierre, Nicolas de.(", 1656-1746).-Portrait ,Portrait présumé de M. de Laage  ,1-0
760,489 ,"Largillierre, Nicolas de.(", 1656-1746).-Portrait ,Portrait d'acteur représentant Apollon ,1-0
761,490 ,"Largillierre, Nicolas de.(", 1656-1746).-Portrait ,"Portrait d'un magistrat , , ",I-E
762,431 ,"Largillierre, Nicolas de.(", 1656-1746).-Portrait ,"Portrait de Largillierre, de sa femme et de sa fille ",I-E
763,492 a ,"Larivière, Louis-Eugène.", (1800-1823). ,Portrait d'Eugénie Paméla Larivière ; ,VIII-0
764,S. N° ,"La Tour, M. Quentin De.", (1704-1788). ,Portrait de Mme de Pompadour assise devant une table. Pastel,S. des pastels
765,S. N° ,"La Tour, M. Quentin De.", (1704-1788). ,Portrait de Jean Restout. Pastel,S. des pastels
766,S. N° ,"La Tour, M. Quentin De.", (1704-1788). ,"Louis de France, dauphin. Pastel.",S. des pastels
767,S. N° ,"La Tour, M. Quentin De.", (1704-1788). ,"Marie Josèphe de Saxe, dauphine. Pastel",S. des pastels
768,S. N° ,"La Tour, M. Quentin De.", (1704-1788). ,"Philibert Orry, comte de Vignory, contrôleur des finances et surintendant des bâtiments, grand trésorier de l'Ordre du Saint-Esprit. Pastel",S. des pastels
769,S. N° ,"La Tour, M. Quentin De.", (1704-1788). ,Portrait de Chardin. Pastel,S. des pastels
770,S. N° ,"La Tour, M. Quentin De.", (1704-1788). ,Portrait de Jacques Dumont le Romain. Pastel,S. des pastels
771,S. N° ,"La Tour, M. Quentin De.", (1704-1788). ,Portrait du sculpteur René Frémin. Pastel,S. des pastels
772,S. No ,"La Tour, M. Quentin De.", (1704-1788). ,Louis XV. Pastel,S. des pastels
773,S. Nu ,"La Tour, M. Quentin De.", (1704-1788). ,Le Maréchal de Saxe. Pastel.,S. des pastels
774,S. N° ,"La Tour, M. Quentin De.", (1704-1788). ,Portrait du sculpteur J.-B. Lemoyne. Pastel.,S. des pastels
775,S. Nu ,"La Tour, M. Quentin De.", (1704-1788). ,Portrait de Jean Le Rond d'Alembert. Pastel. \Reproduit),S. des pastels
776,S. N° ,"La Tour, M. Quentin De.", (1704-1788). ,"Portrait de La Tour par lui-même. Pastel, ébauche",S. des pastels
777,S. N° ,"La Tour, M. Quentin De.", (1704-1788). ,"Portrait de Marie Leszczynska, reine de France. Pastel.",S. des pastels
778,17) ,"La Tour, M. Quentin De.", (1704-1788). ,"Portrait de Nicole Ricard, enfant, plus tard Mme Goujon, mère du conventionnel. Pastel.",Coll. Arconati-Visconti
779,142) ,"La Tour, M. Quentin De.", (1704-1788). ,"Portrait de La Tour. Pastel, préparation",Coll. Camondo
780,143) ,"La Tour, M. Quentin De.", (1704-1788). ,"Portrait de Melle Dangeville. Pastel, préparation",Coll. Camondo
800,520 ,"Le Brun, Mme Elisabeth-Louise Vigée. [", 17^-1842). ,La Paix ramenant l'Abondance ,XVI-S
801,522 ,"Le Brun, Mme Elisabeth-Louise Vigée.", (1755-1842). ,"Portraits de Mme Le Brun, coiffée d'un turban, et de sa fiIle ",XVI-S
802,524 ,"Le Brun, Mme Elisabeth-Louise Vigée.", (1755-1842). ,Portrait du peintre Hubert Robert. ,XVI-S
803,525 ,"Le Brun, Mme Elisabeth-Louise Vigée.", (1755-1842). ,Portrait du peintre Joseph Vernet. ,XVI-S
804,526 ,"Le Brun, Mme Elisabeth-Louise Vigée.", (1755-1842). ,"Portrait de Mme Molé Reymond, de la ComédieFrançaise ",XVI-S
