,author,life,title,width,height,wall,position,image_path
462,Fragonard jean honoré, (1732-1806). ,la leçon de musique,121.0,109.0,S,XVI,data/images_paintings/462.jpg
463,Fragonard jean honoré, (1732-1806). ,le vœu à l'amour,32.5,24.0,S,XVI,data/images_paintings/463.jpg
464,Fragonard jean honoré, (1732-1806). ,les baigneuses,80.0,64.0,O,I,data/images_paintings/464.jpg
465,Fragonard jean honoré, (1732-1806). ,bacchante endormie,55.0,46.0,E,I,data/images_paintings/465.jpg
466,Fragonard jean honoré, (1732-1806). ,la chemise enlevée,42.5,35.0,O,I,data/images_paintings/466.jpg
467,Fragonard jean honoré, (1732-1806). ,la musique portrait de m de la bretèche,65.0,80.0,O,I,data/images_paintings/467.jpg
468,Fragonard jean honoré, (1732-1806). ,l'étude,65.5,81.5,O,I,data/images_paintings/468.jpg
469,Fragonard jean honoré, (1732-1806). ,l'inspiration    ,64.5,80.5,O,I,data/images_paintings/469.jpg
470,Fragonard jean honoré, (1732-1806). ,jeune femme,45.5,54.5,O,I,data/images_paintings/470.jpg
471,Fragonard jean honoré, (1732-1806). ,l'orage,97.0,73.0,O,I,data/images_paintings/471.jpg
472,Fragonard jean honoré, (1732-1806). ,sganarelle dans le médecin malgré lui  acte 1 scène vi peut être par watteati,,,E,I,
473,Fragonard jean honoré, (1732-1806). ,l'enfant aux fleurs,13.0,19.0,,Coll Schlichting,data/images_paintings/473.jpg
474,Fragonard jean honoré, (1732-1806). ,le songe d'amour du guerrier  ,50.5,61.5,,Coll Schlichting,data/images_paintings/474.jpg
475,Fragonard jean honoré, (1732-1806). ,le nid d'oiseaux,19.0,27.5,,Coll Schlichting,data/images_paintings/475.jpg
476,Fréminet martin, (1567-1614). ,mercure ordonne à enée d'abandonner didon attribué,,,,XI,
477,Fromentin eugène, (1820-1870). ,chasse au faucon en algérie la curée,118.0,162.5,,E F XIXe S 2e étage II,data/images_paintings/477.jpg
478,Fromentin eugène, (1820-1870). ,le campement arabe,144.0,104.0,,E F XIXe S 1er étage II,data/images_paintings/478.jpg
479,Fromentin eugène, (1820-1870). ,femmes égyptiennes au bord du nil,105.0,120.0,,E F XIXe S 2e étage II,data/images_paintings/479.jpg
480,Fromentin eugène, (1820-1870). ,chasse au fducon,,,,T T,
481,Fromentin eugène, (1820-1870). ,halte de cavaliers,94.5,73.5,,T T,data/images_paintings/481.jpg
482,Fromentin eugène, (1820-1870). ,halte de cavaliers arabes,94.5,73.5,,Musée Charles X S III,data/images_paintings/482.jpg
483,Fromentin eugène, (1820-1870). ,la fantasia,,,,Coll Chauchard galerie,
484,Garnier etienne barthélemy, (17=10-1849). ,hercule obtenant de diane la biche aux cornes d'or peinture dans un des tympans de la voûte,,,,S Grecque,
485,Gassies jean bruno, (178Ó-IS12). ,aliégories de la paix de la justice de la force et de la loi génies symbolisant les sciences les arts l'agriculture le commerce voussures du plafond,,,,S Meubles XVIIe,
486,Gellée claude, (1000-1082). ,vue d'un port effet de soleil levant,,,S,XIV,
487,Gellée claude, (1000-1082). ,vue du campo vaccino à rome,,,S,XIV,
488,Gellée claude, (1000-1082). ,la fète villageoise,135.0,103.0,N,XIV,data/images_paintings/488.jpg
489,Gellée claude, (1000-1082). ,un port du mer au soleil couchant,,,N,XIV,
490,Gellée claude, (1000-1082). ,le débarquement de cléopâtre à tarse,168.0,119.0,N,XIV,data/images_paintings/490.jpg
491,Gellée claude, (1000-1082). ,david sacré roi par samuel,150.0,119.0,S,XIV,data/images_paintings/491.jpg
492,Gellée claude, (1000-1082). ,ulysse remet chryséis à son père,150.0,119.0,N,XIV,data/images_paintings/492.jpg
493,Gellée claude, (1000-1082). ,vue d'un port de mer effet de soleil voilé par une bru me,,,S,XIV,
494,Gellée claude, (1000-1082). ,un port de mer,137.0,103.0,S,XIV,data/images_paintings/494.jpg
495,Gellée claude, (1000-1082). ,marine,150.0,119.0,N,XIV,data/images_paintings/495.jpg
496,Gellée claude, (1600-1682;. ,le gué,150.0,118.0,N,XIV,data/images_paintings/496.jpg
497,Gellée claude, (1600-1682;. ,entrée d'un port vue de la mer,,,S,XIV,
498,Gellée claude, (1600-1682;. ,siège de la rochelle prise par louis xiii le 8 octobre ô28,,,S,XIV,
499,Gellée claude, (1600-1682;. ,le pas de suze forcé par louis xiii en 1029,,,S,XIV,
500,Gellée claude, (1600-1682;. ,paysage attribué,,,E,I,
501,Gérard françois pascal simon, (1770-18; 7). ,psyché reçoit le premier baiser de l'amour,,,S,II,
502,Gérard françois pascal simon, (1770-18; 7). ,daphnis et chloé,,,N,III,
503,Gérard françois pascal simon, (1770-18; 7). ,portrait de m isabey peintre en miniature et de sa fille depuis mme ciceri,,,E,III,
504,Gérard françois pascal simon, (1770-18; 7). ,portrait du sculpteur antonio canova,,,O,I,
505,Gérard françois pascal simon, (1770-1837). ,portrait de la comtesse regnaud de saintjean d'angély,,,O,III,
506,Gérard françois pascal simon, (1770-1837). ,portrait de la marquise visconti,,,S,III,
507,Gérard françois pascal simon, (1770-1837). ,portrait de madame barbier walbonne,,,O,I,
508,Géricault jean louis andré théodore, (17° J - J 824). ,le radeau de la méduse,716.0,491.0,O,VIII,data/images_paintings/508.jpg
509,Géricault jean louis andré théodore, (17° J - J 824). ,officier de chasseurs à cheval de la garde impériale chargeant portrait équestre de m dieudonné officier des guides de l'empereur,,,O,VIII,data/images_paintings/509.jpg
510,Géricault jean louis andré théodore, (17° J - J 824). ,officiers de chasseurs à cheval de la garde impériale esquisse,,,,E F XIXe S 1er étage II,
511,Géricault jean louis andré théodore, (1791-18241. ,le cuirassier blessé esquisse,46.0,55.2,,E F XIXe S 1er étage II,data/images_paintings/511.jpg
512,Géricault jean louis andré théodore, (1791-18241. ,un carabinier,85.0,101.0,,E F XIXe S 1er étage III,data/images_paintings/512.jpg
513,Géricault jean louis andré théodore, (1791-18241. ,le four à plâtre,61.0,50.0,,E F XIXe S 1er étage I,data/images_paintings/513.jpg
514,Géricault jean louis andré théodore, (1791-18241. ,cheval turc dans une écurie,25.0,35.0,,E F XIXe S 1er étage I,data/images_paintings/514.jpg
515,Géricault jean louis andré théodore, (1791-18241. ,course de chevaux à epsom en 1821,,,O,VIII,
516,Géricault jean louis andré théodore, (1791-18241. ,la course,60.0,45.0,,E F XIXe S 1er étage I,data/images_paintings/516.jpg
517,Géricault jean louis andré théodore, (1791-18241. ,tête de chien bouledogue,,,,E F XIXe S 1er étage I,
518,Géricault jean louis andré théodore, (1791-18241. ,la course des barberi au corso à rome,,,,E F XIXe S 1er étage II,
519,Géricault jean louis andré théodore, (1791-18241. ,chevaux de course,41.0,29.0,,E F XIXe S 1er étage II,
520,Géricault jean louis andré théodore, (1791-18241. ,chevaux de course,41.0,29.0,,E F XIXe S 1er étage II,
521,Géricault jean louis andré théodore, (1791-18241. ,cheval,54.5,65.5,,E F XIXe S 1er étage I,data/images_paintings/521.jpg
522,Géricault jean louis andré théodore, (1791-18241. ,intérieur d'écurie,,,,E F XIXe S 1er étage II,
523,Géricault jean louis andré théodore, (1791-18241. ,portrait présumé du peintre par lui même,,,,E F XIXe S 1er étage III,
524,Géricault jean louis andré théodore, (1791-1821) ,la justice et la vengeance divine poursuivant le crime d'après prud'hon,,,,E F XIXe S 1er étage II,
525,Géricault jean louis andré théodore, (1791-1821) ,portrait du peintre a colin,,,,E F XIXe S 1er étage I,
526,Géricault jean louis andré théodore, (1791-1821) ,première esquisse du radeau de la méduse,,,,E F XIXe S 1er étage II,
527,Gérôme léon, (1824-1904). ,un combat de coqs,204.0,143.0,,Marine,data/images_paintings/527.jpg
528,Gérôme léon, (1824-1904). ,voir clouet d'après 2944 gigoux jean françois 1809 1895 — portrait du général polonais dwernicki,,,,E F XIXe S 1er étage II,
529,Gérôme léon, (1824-1904). ,portrait de charles fourier,,,,Marine,
530,Girodet de roucy trioson anne louis, (1707-1824). ,le sommeil d'endymion,261.0,198.0,O,I,data/images_paintings/530.jpg
531,Girodet de roucy trioson anne louis, (1767-1824). ,portrait du baron dominique jean larrey 1766842,,,E,II,
532,Girodet de roucy trioson anne louis, (1767-1824). ,etude pour le sommeil d'endymion,,,,Coll Schlichting,
533,Gleyre charles, (1807-1874). ,les illusions perdues ou le soir,,,,E F XIXe S 1er étage I,
534,Gourmont jean de, (vivait en 1557). ,la nativité,,,,XI,
535,Granet françois marius, (177^-1849). ,vue intérieure du colisée à rome,160.0,125.0,,E F XIXe S 1er étage I,data/images_paintings/535.jpg
536,Granet françois marius, (177^-1849). ,le peintre sodoma porté à l'hôpital,100.0,75.0,,Marine,data/images_paintings/536.jpg
537,Granger jean pierre, (1779-1840). ,portrait de madame granger,,,O,VIII,
538,Greuze jean baptiste," (172=,-180=,). ",l'empereur sévère reproche à caracalla son fils d'avoir voulu l'assassiner,,,E,XV,
539,Greuze jean baptiste," (172=,-180=,). ",l'accordée de village,117.0,92.0,E,XVI,data/images_paintings/539.jpg
540,Greuze jean baptiste," (172=,-180=,). ",la malédiction paternelle,162.0,130.0,S,XVI,data/images_paintings/540.jpg
541,Greuze jean baptiste," (172=,-180=,). ",le fils puni '',,,S,XVI,data/images_paintings/541.jpg
542,Greuze jean baptiste," (172=,-180=,). ",la cruche cassée,85.0,110.0,S,XVI,data/images_paintings/542.jpg
543,Greuze jean baptiste," (172=,-180=,). ",la laitière,86.0,106.0,N,XVI,data/images_paintings/543.jpg
544,Greuze jean baptiste," (172=,-180=,). ",l'oiseau mort,55.0,68.0,N,XVI,data/images_paintings/544.jpg
545,Greuze jean baptiste," (172=,-180=,). ",l'enfant à la poupée,,,S,XVI,
546,Greuze jean baptiste," (172=,-180=,). ",l'effroi,,,S,XVI,data/images_paintings/546.jpg
547,Greuze jean baptiste," (172=,-180=,). ",portrait du peintre etienne jeaurat,,,E,XVI,
548,Greuze jean baptiste," (172=,-180=,). ",portrait d'homme ,54.8,64.7,E,XVI,
549,Greuze jean baptiste," (172=,-180=,). ",portrait du médecin duval,,,,IVe S Meubles XVIIIe,
550,Greuze jean baptiste, (1725-1805). ,tête de jeune fille étude,,,N,XVI,
551,Greuze jean baptiste, (1725-1805). ,tête de jeune fille étude,,,N,XVI,
552,Greuze jean baptiste, (1725-1805). ,tête de jeune fine,,,E,I,
553,Greuze jean baptiste, (1725-1805). ,danaë 1 0 ■ 379,,,E,Musée Charles X S III,
554,Greuze jean baptiste, (1725-1805). ,son portrait par lui même,,,E,XVI,
555,Greuze jean baptiste, (1725-1805). ,l'innocence enchaînée par les amours et suivie du repentir ,,,,Coll Schlichting,
556,Grimou alexis, ( 1678-1733). ,son portrait par lui même,,,S,XVI,
557,Grimou alexis, ( 1678-1733). ,un buveur,85.0,100.0,S,XVI,data/images_paintings/557.jpg
558,Gros antoine jean, (1771-1835). ,le général en chef bonaparte visite les pestiférés de jaffa 111 0 389,,,E,Musée Charles X S III,
559,Gros antoine jean, (1771-1835). ,— françois ier et charles quint visitant les tomt beaux de l'église de saint denis,,,,S des dessins XIXe,
560,Gros antoine jean, (1771-1835). ,bonaparte à arcole,,,E,III,
561,Gros antoine jean, (1771-1835). ,portrait de christine boyer première femme du prince lucien bonaparte,,,S,III,
562,Gros antoine jean, (1771-1835). ,portrait du comte alcide de la rivallière élève,,,E,Musée Charles X S III,
563,Gros antoine jean, (1771-1835). ,plafond le génie de la france anime les arts protège l'humanité — voussures enfants tenant l'écu royal ou des guirlandes et couronnes de laurier,,,,Musée Charles X S I,
564,Gros antoine jean, (1771-1835). ,plafond  la véritable gloire s'appuie sur la vertu mars écoutant la modération le temps élève la vérité six compartiments bustes de périclès auguste léon x françois 1er louis xiv charles x —,,,,V,
565,S  gudin théodore, (1802-1879). ,marine naufrage 389,,,,Musée Charles X S III,
566,Guérin pierre narcisse, (1774-1833). ,le  retour de marcus sextus,243.0,217.0,N,Musée Charles X S III,data/images_paintings/566.jpg
567,Guérin pierre narcisse, (1774-1833). ,phèdre et hippolyte,46.0,33.0,E,II,data/images_paintings/567.jpg
568,Guérin pierre narcisse, (1774-1833). ,andromaque et pyrrhus,457.0,342.0,N,II,data/images_paintings/568.jpg
569,Guérin pierre narcisse, (1774-1833). ,enée racontant à didon les malheurs de la ville de troie,390.0,292.0,N,II,data/images_paintings/569.jpg
570,Guérin pierre narcisse, (1774-1833). ,enée et didon première pensée du tableau précédent,,,O,I,
571,Guérin pierre narcisse, (1774-1833). ,clytemnestre conseillée par egisthe s'apprête à frapper agamemlion,,,E,III,
572,Guérin pierre narcisse, (1774-1833). ,l'aurore et céphale,186.0,254.5,N,III,data/images_paintings/572.jpg
573,Guérin pierre narcisse, (1774-1833). ,deux génies de l'immortalité médaillon du plafond,,,,S des Antonins,
574,Guiard mme, (1749-1803). ,portrait de pajou sculpteur pastel,,,,S des Pastels,
575,Guiard mme, (1749-1803). ,portrait de mme victoire pastel,,,,S des Pastels,
576,Guiard mme, (1749-1803). ,portrait du peintre vincent,,,O,I,
577,Guichard joseph benoit, (1806-1880). ,le triomphe de la terre d'après le brun voûte,,,,Galerie d'Apollon,
578,Guigou paul camille, (1834-1871). ,route de la gineste près de marseille,,,,E F XIXe S 2e étage II,
579,Guigou paul camille, (1834-1871). ,la lavandière,,,,E F XIXe S 2e étage II,
580,Halle noël, ( 1711-1781). ,l'automne,,,S,XVI,
581,Halle noël, ( 1711-1781). ,les génies de la poésie de l'histoire de la physique et de l'astronomie,,,S,XVI,
582,Halle noël, ( 1711-1781). ,libéralité de cimon l'athénien,322.0,322.0,S,XVI,data/images_paintings/582.jpg
583,Halle noël, ( 1711-1781). ,dispute de minerve et de neptune,197.5,156.5,,V,data/images_paintings/583.jpg
584,Hamon jean louis, (1821-1874). ,la comédie humaine,,,,S des dessins XIXe,
585,Hébert ernest, (1817-1908). ,le baiser de judas,186.0,255.0,,Marine,
586,Hébert ernest, (1817-1908). ,les cervarolles,176.0,288.0,N,VIII,data/images_paintings/586.jpg
587,Hébert ernest, (1817-1908). ,la malaria campagne romaine,,,,E F XIXe S 1er étage III,
588,Hébert ernest, (1817-1908). ,portrait de mme m'ey isabey,,,,S Isabey,
589,Heim françois joseph, (1787-1865). ,sujet tiré de l'«histoire des juifs» par josèphe,,,E,VIII,data/images_paintings/589.jpg
590,Hennequin philippe auguste, (1763-1833). ,l'hercule français plafond,,,,S des Antonins,
591,Henner jean jacques, (1829-1905). ,la liseuse,123.0,94.0,,Musée Charles X S III,data/images_paintings/591.jpg
592,Hilair jean baptiste, (travaillait entre 1781 et 1822) ,la lecture,118.0,136.0,N,XVI,data/images_paintings/592.jpg
593,Hue jean françois, (1751-1823). ,marine effet de clair de tune,,,,Marine,
594,Hue jean françois, (1751-1823). ,vue de la ville de la rade et du port de st malo prise de st servan ,,,,Marine,
595,Huet jean baptiste, (1745-1811). ,un dogue se jetant sur des oies sauvages et leurs petits,,,,IVe S Meubles XVIIIe,
596,Huet paul, (1803-1869).—L'inondation ,de saint cloud,300.0,203.5,N,VIII,data/images_paintings/596.jpg
597,Huet paul, (1803-1869).—L'inondation ,coucher de soleil à seine port,,,,E F XIXe S 2e étage I,
598,Huet paul, (1803-1869).—L'inondation ,calme du matin intérieur de forêt,86.0,58.0,,E F XIXe S 2e étage I,data/images_paintings/598.jpg
599,Huet paul, (1803-1869).—L'inondation ,fraîcheur des bois fourré de la forêt,102.0,67.0,,E F XIXe S 2e étage I,data/images_paintings/599.jpg
600,Huet paul, (1803-1869).—L'inondation ,les chasseurs forêt de fontainebleau,125.0,87.0,,E F XIXe S 1er étage III,data/images_paintings/600.jpg
601,Huet paul, (1803-1869).—L'inondation ,grande marée d'équinoxe aux environs de honfleur,164.5,101.0,,E F XIXe S 2e étage I,data/images_paintings/601.jpg
602,Huet paul, (1803-1869).—L'inondation ,le parc de saint cloud un jour de fête,46.0,36.0,,E F XIXe S 2e étage II,data/images_paintings/602.jpg
603,Huet paul, (1803-1869). ,la ferme,27.0,21.8,,E F XIXe S 2e étage II,data/images_paintings/603.jpg
604,Huet paul, (1803-1869). ,chaumière normande vieux trouvillei,,,,E F XIXe S 2e étage II,
605,Huet paul, (1803-1869). ,cheval normand,27.0,21.0,,E F XIXe S 2e étage II,data/images_paintings/605.jpg
606,Huet paul, (1803-1869). ,brisants à la pointe de granville,103.0,68.0,,E F XIXe S 2e étage II,data/images_paintings/606.jpg
607,Huet paul, (1803-1869). ,l'inondation de saint cloud carton,,,,Esc T T,
608,Ingres jean auguste dominique, (1780-1*671. ,jésus christ donne à saint pierre les clés du paradis,,,S,VIII,
609,Ingres jean auguste dominique, (1780-1*671. ,la vierge à l'hostie,,,,E F XIXe S 1er étage I,data/images_paintings/609.jpg
610,Ingres jean auguste dominique, (1780-1867). ,roger délivrant angélique,190.0,147.0,E,VIII,data/images_paintings/610.jpg
611,Ingres jean auguste dominique, (1780-1867). ,jeanne d'arc assistant au sacre de charles vii dans la cathédrale de reims,,,S,VIII,
612,Ingres jean auguste dominique, (1780-1867). ,cedipe expliquant l'énigme,,,,V,data/images_paintings/612.jpg
613,Ingres jean auguste dominique, (1780-1867). ,la source,,,,V,data/images_paintings/613.jpg
614,Ingres jean auguste dominique, (1780-1867). ,odalisque couchée,,,S,VIII,
615,Ingres jean auguste dominique, (1780-1867). ,la baigneuse,27.0,35.0,E,VIII,data/images_paintings/615.jpg
616,Ingres jean auguste dominique, (1780-1867). ,la chapelle sixtine,,,,E F XIXe S 1er étage III,
617,Ingres jean auguste dominique, (1780-1867). ,portrait de m cordier,,,S,VIII,
618,Ingres jean auguste dominique, (1780-1867). ,portrait de m philibert rivière maître des requêtes ,,,O,VIII,
619,Ingres jean auguste dominique, (1780-1867). ,portrait de mme rivière marie françoise beauregard femme de m philibert rivière,,,O,VIII,
620,Ingres jean auguste dominique, (1780-1867). ,portrait de melle rivière morte à l'âge de 15 ans,,,S,VIII,
621,Ingres jean auguste dominique, (1780-1867). ,portrait de m bochet ami du peintre,,,S,VIII,
622,Ingres jean auguste dominique, (1780-1867). ,portrait de m bertin aîné,,,E,VIII,
623,Ingres jean auguste dominique, (1780-1867). ,vénus anadyomènc réduction peinte attribué,,,,E F XIXe S 1er étage II,
624,Ingres jean auguste dominique, (1780-1867). ,la source réduction peinte attribué,,,,E F XIXe S 1er étage II,
625,Ingres jean auguste dominique, (1780-1867). ,la petite baigneuse intérieur de harem,27.0,35.0,,E F XIXe S 1er étage II,data/images_paintings/625.jpg
626,Ingres jean auguste dominique, (1780-1867). ,le bain turc rcproduit,,,N,VIII,
627,Isabey eugène, (1804-1886). ,un mariage dans l'église de delft,,,,T T,
628,Isabey eugène, (1804-1886). ,un baptême à l'église du tréport,,,,T T,
629,Isabey eugène, (1804-1886). ,seigneurs sur la plage de scheveningue,99.0,57.0,,T T,data/images_paintings/629.jpg
630,Isabey eugène, (1804-1886). ,le duel,,,,T T,
631,Isabey eugène, (1804-1886). ,la visite au château,,,,T T,
632,Isabey eugène, (1804-1886). ,la procession,,,,T T,
633,Isabey eugène, (1804-1886). ,louis xiii au château de blois,90.0,60.0,,T T,data/images_paintings/633.jpg
634,Isabey eugène, (1804-1886). ,embarquement de ruyter et de william de witt,,,,Esc T T,
635,Isabey eugène, (1804-1886). ,marée basse,168.0,124.0,,Esc T T,data/images_paintings/635.jpg
636,Isabey eugène, (1804-1886). ,le pont,40.0,27.0,,E F XIXe S 2e étage I,data/images_paintings/636.jpg
637,Isabey eugène, (1804-1886). ,marine,37.47,23.5,,E F XIXe S 2e étage I,
638,Isabey eugène, (1804-1886). ,arrivée du duc d'albe à rotterdam,93.5,42.5,,Coll Chauchard IV,data/images_paintings/638.jpg
639,Isabey eugène, (1804-1886). ,le déjeuner de la reine,78.7,90.0,,Coll Chauchard galerie,
640,Isabey eugène, (1804-1886). ,l'emprisonnement,67.0,51.0,,Coll Chauchard I,data/images_paintings/640.jpg
641,Isabey eugène, (1804-1886). ,la sortie de l'église,35.5,48.5,,Coll Chauchard galerie,
642,Isabey eugène, (1804-1886). ,le mariage royal,,,,Coll Chauchard galerie,
643,Isabey jean baptiste, (1767-1855). ,vue du grand escalier du,,,,Musée Charles X S III,
644,Jacobber jacob ber, (1786-1863). ,fleurs etfruits ,,,,S des dessins XIXe,
645,Jacque charles, (1813-189.1). ,la petite bergerie paysanne arrangeant les râteliers,67.0,47.0,,Coll Chauchard galerie,
646,Jacque charles, (1813-189.1). ,la grande bergerie,156.5,100.0,,Coll Chauchard I,data/images_paintings/646.jpg
647,Jacque charles, (1813-189.1). ,troupeau de moutons dans un paysage,280.0,176.0,,E F XIXe S 2e étage I,data/images_paintings/647.jpg
648,Jouvenet jean, (1614-1717). ,la pêche miraculeuse,664.0,392.0,N,XIV,data/images_paintings/648.jpg
649,Jouvenet jean, (1614-1717). ,la résurrection de lazare,664.0,388.0,S,XIV,data/images_paintings/649.jpg
650,Jouvenet jean, (1614-1717). ,la descente de croix,312.0,424.0,S,XIV,data/images_paintings/650.jpg
651,Jouvenet jean, (1614-1717). ,vue du maître autel de notre dame de paris,,,S,XIV,
652,Jouvenet jean, (1614-1717). ,esquisse du plafond de la chambre des enquêtes du parlement de rouen,,,S,XVI,
653,Jouvenet jean, (1614-1717). ,portrait de r finot professeur à la faculté de médecine de paris autrefois dit portrait de fagon premier médecin du roi louis xiv,,,S,XIV,
654,La berge auguste charles de, (1805-1842). ,paysage,,,,E F XIXe S 2e étage I,
655,La berge auguste charles de, (1805-1842). ,passage d'une diligence dans un bourg de basse normandie    ,,,,E F XIXe S 2e étage II,
656,La caze louis, (1798-1869). ,son portrait peint par lui même à l'âge de 45 ans environ,,,N,I,
657,La fosse charles de, (1636-1716). ,moïse sauvé des eaux   ,110.0,125.0,N,XVI,data/images_paintings/657.jpg
658,La fosse charles de, (1636-1716). ,le triomphe de bacchus,225.0,165.0,,S dessins Watteau,data/images_paintings/658.jpg
659,Lagneau ou lanneau, (travaillait au commencement du XVIIe siècle). ,portrait de jean pierre acarie conseiller maître de la chambre des comptes de paris dessin,,,,Coll Arconati-Visconti,
660,Lagrenée louis jean françois, (1724- 1805). ,l'enlèvement de déjanire,185.0,157.0,,V,data/images_paintings/660.jpg
661,Lagrenée louis jean françois, (1724- 1805). ,pleureuse étude pour la mort de la femme de darius du,,,S,Musée d'Angers,
662,Lagrenée jean jacques, (17401821). ,l'hiver ou eole déchaînant les vents plafond,,,,Galerie d'Apollon,
663,La hyre laurent de, (1606-1656). ,la vierge et ' enfant jésus,119.0,140.0,,XII,data/images_paintings/663.jpg
664,La hyre laurent de, (1606-1656). ,l'apparition de jésus aux trois maries,,,O,XIV,
665,La hyre laurent de, (1606-1656). ,saint pierre guérissant les malades avec son ombre,49.0,67.0,E,XIV,data/images_paintings/665.jpg
666,La hyre laurent de, (1606-1656). ,saint pierre guérissant les malades esquisse du tableau précédent,,,O,XIV,
667,La hyre laurent de, (1606-1656). ,allégorie la france reçoit la paix des mains de la victoire,,,S,XIV,
668,La hyre laurent de, (1606-1656). ,pavsage les deux pêcheurs,,,N,XVI,
669,Lami eugène, (1800-1890). ,entrée de la duchesse d'orléans aux tuileries,,,,E F XIXe S 2e étage II,
670,Lancret nicolas, (1690-1743). ,le printemps,89.0,69.0,S,XVI,data/images_paintings/670.jpg
671,Lancret nicolas, (1690-1743). ,l'été,89.0,69.0,S,XVI,data/images_paintings/671.jpg
672,Lancret nicolas, (1690-1743). ,l'automne,89.0,69.0,S,XVI,data/images_paintings/672.jpg
673,Lancret nicolas, (1690-1743). ,l'hiver,,,S,XVI,data/images_paintings/673.jpg
674,Lancret nicolas, (1690-1743). ,les tourterelles,20.0,15.0,N,XVI,data/images_paintings/674.jpg
675,Lancret nicolas, (1690-1743). ,le nid d'oiseaux,20.0,15.0,N,XVI,data/images_paintings/675.jpg
676,Lancret nicolas, (1690-1743). ,la leçon de musique,90.0,89.0,S,XVI,data/images_paintings/676.jpg
677,Lancret nicolas, (1690-1743). ,l'innocence ,90.0,89.0,S,XVI,data/images_paintings/677.jpg
678,Lancret nicolas, (1690-1743). ,les acteurs de la comédie italienne,22.0,25.5,O,I,data/images_paintings/678.jpg
679,Lancret nicolas, (1690-1743). ,le gascon puni,36.0,28.0,E,I,data/images_paintings/679.jpg
680,Lancret nicolas, (1690-1743). ,la cage ,27.0,38.5,O,I,data/images_paintings/680.jpg
681,Langlois jérôme martin, (1770-1818). ,portrait du peintre david,,,O,III,
682,Lanoue félix hippolyte, (1812-1872). ,vue de la forêt de pins du gombo cascine de pise,,,,E F XIXe S 2e étage II,
683,Lanoue félix hippolyte, (1812-1872). ,vue du tibre prise de l'aqua acetosa campagne de rome,,,,E F XIXe S 2e étage II,data/images_paintings/683.jpg
684,La porte henri horace roland de, (1724?-1793). ,vase globe et instrument de musique,,,S,XVI,
685,La porte henri horace roland de, (1724?-1793). ,ustensiles sur une table de pierre,,,O,I,
686,Largillierre nicolas de, (1656-1716). ,le prévôt des marchands et les échevins de la ville de parisen 1687,,,E,I,
687,Largillierre nicolas de, (1656-1716). ,portrait de charles le brun premier peintre du roi,,,S,XIV,
688,Largillierre nicolas de, (1656-1716). ,portrait de m du vaucel,,,O,I,
689,Largillierre nicolas de, (1656-1716). ,portrait de jeune femme en diane,,,E,I,
690,Largillierre nicolas de, 1656-1746).-Portrait ,d'homme,71.1,91.4,E,I,
691,Largillierre nicolas de, 1656-1746).-Portrait ,portrait' d'un échevin de la ville de paris,,,O,I,
692,Largillierre nicolas de, 1656-1746).-Portrait ,portrait présumé de m de laage,,,O,I,
693,Largillierre nicolas de, 1656-1746).-Portrait ,portrait d'acteur représentant apollon,,,O,I,
694,Largillierre nicolas de, 1656-1746).-Portrait ,portrait d'un magistrat  ,65.0,81.0,E,I,data/images_paintings/694.jpg
695,Largillierre nicolas de, 1656-1746).-Portrait ,portrait de largillierre de sa femme et de sa fille,,,E,I,
696,Larivière louis eugène, (1800-1823). ,portrait d'eugénie paméla larivière ,,,O,VIII,
697,La tour m quentin de, (1704-1788). ,portrait de mme de pompadour assise devant une table pastel,,,,S des Pastels,
698,La tour m quentin de, (1704-1788). ,portrait de jean restout pastel,,,,S des Pastels,
699,La tour m quentin de, (1704-1788). ,louis de france dauphin pastel,54.0,64.0,,S des Pastels,data/images_paintings/699.jpg
700,La tour m quentin de, (1704-1788). ,marie josèphe de saxe dauphine pastel,,,,S des Pastels,
701,La tour m quentin de, (1704-1788). ,philibert orry comte de vignory contrôleur des finances et surintendant des bâtiments grand trésorier de l'ordre du saint esprit pastel,,,,S des Pastels,
702,La tour m quentin de, (1704-1788). ,portrait de chardin pastel,,,,S des Pastels,
703,La tour m quentin de, (1704-1788). ,portrait de jacques dumont le romain pastel,,,,S des Pastels,
704,La tour m quentin de, (1704-1788). ,portrait du sculpteur rené frémin pastel,,,,S des Pastels,
705,La tour m quentin de, (1704-1788). ,louis xv pastel,,,,S des Pastels,
706,La tour m quentin de, (1704-1788). ,le maréchal de saxe pastel,,,,S des Pastels,
707,La tour m quentin de, (1704-1788). ,portrait du sculpteur j b lemoyne pastel,,,,S des Pastels,
708,La tour m quentin de, (1704-1788). ,portrait de jean le rond d'alembert pastel reproduit,,,,S des Pastels,
709,La tour m quentin de, (1704-1788). ,portrait de la tour par lui même pastel ébauche,,,,S des Pastels,
710,La tour m quentin de, (1704-1788). ,portrait de marie leszczynska reine de france pastel,,,,S des Pastels,
711,La tour m quentin de, (1704-1788). ,portrait de nicole ricard enfant plus tard mme goujon mère du conventionnel pastel,,,,Coll Arconati-Visconti,
712,La tour m quentin de, (1704-1788). ,portrait de la tour pastel préparation,,,,Musée Charles X S III,
713,La tour m quentin de, (1704-1788). ,portrait de melle dangeville pastel préparation,,,,Musée Charles X S III,
714,Le brun mme elisabeth louise vigée , 17^-1842). ,la paix ramenant l'abondance,132.5,102.5,S,XVI,data/images_paintings/714.jpg
